Date,CPI,Unemployment rate(25-44),Government_debt,Population in Japan,M2_Aver. Outstanding Balance YoY,USD_to_JPY
30/04/1982,78.5,2.35,1148528,118249000,9.3,244.9
31/05/1982,78.8,2.2,1158290,118303000,9.4,236.97
30/06/1982,78.8,2.275,1163245,118407000,8.8,251.11
31/07/1982,78.3,2.225,1141923,118480000,9.3,255.1
31/08/1982,78.9,2.1,1145115,118504000,9,258.67
30/09/1982,80.1,2.375,1161671,118647000,8.9,262.74
31/10/1982,80.3,2.425,1170021,118728000,8.3,271.33
30/11/1982,79.6,2.25,1195084,118810000,8,265.02
31/12/1982,79.5,2.225,1221066,118877000,7.9,242.49
31/01/1983,79.6,2.775,1204671,118885000,7.7,232.9
28/02/1983,79.3,2.85,1204822,119004000,7.4,236.27
31/03/1983,79.7,2.725,1234846,119011000,7.6,237.92
30/04/1983,80.1,2.7,1277629,119078000,7.6,237.7
31/05/1983,80.9,2.55,1279354,119131000,7.5,234.78
30/06/1983,80.4,2.45,1309360,119240000,7.7,240.06
31/07/1983,80.1,2.45,1312847,119307000,7.1,240.49
31/08/1983,79.9,2.7,1313362,119325000,6.9,244.36
30/09/1983,80.8,2.625,1335493,119456000,7.2,242.71
31/10/1983,81.5,2.475,1352143,119536000,7.2,233
30/11/1983,81.1,2.25,1379542,119608000,6.8,235.25
31/12/1983,80.8,2.35,1401761,119669000,7.6,234.34
31/01/1984,81.1,2.525,1383860,119672000,7.6,233.95
29/02/1984,81.6,2.7,1385893,119797000,7.8,233.67
31/03/1984,81.7,2.75,1395848,119803000,8.4,225.52
30/04/1984,81.9,2.675,1458904,119869000,7.7,224.95
31/05/1984,82.5,2.675,1449478,119916000,7.6,230.67
30/06/1984,81.9,2.725,1453267,120021000,7.5,233.29
31/07/1984,82.1,2.5,1453129,120083000,7.7,242.72
31/08/1984,81.4,2.55,1465648,120104000,7.7,242.24
30/09/1984,82.7,2.45,1479452,120220000,8.1,245.19
31/10/1984,83.2,2.55,1499229,120305000,7.7,246.89
30/11/1984,82.8,2.525,1517762,120371000,8.1,243.29
31/12/1984,83,2.225,1532672,120441000,7.8,247.96
31/01/1985,83.2,2.4,1514264,120429000,7.9,254.11
28/02/1985,82.9,2.675,1512547,120557000,7.9,260.34
31/03/1985,83.2,2.85,1548336,120566000,7.9,258.43
30/04/1985,83.8,2.55,1585846,120628000,8.4,251.67
31/05/1985,83.9,2.35,1595481,120678000,8.3,251.57
30/06/1985,83.9,2.575,1591230,120781000,8.2,248.95
31/07/1985,84.1,2.475,1595908,120837000,8.2,241.7
31/08/1985,83.9,2.5,1584093,120844000,8.3,237.2
30/09/1985,84,2.6,1607950,120956000,8.3,236.91
