,CPI,Unemployment rate(25-44),Government_debt,Population in Japan,M2_Aver. Outstanding Balance YoY,USD_to_JPY
0,78.5,2.35,1148528.0,118249000.0,9.3,244.9
1,78.8,2.2,1158290.0,118303000.0,9.4,236.97
2,78.8,2.275,1163245.0,118407000.0,8.8,251.11
3,78.3,2.225,1141923.0,118480000.0,9.3,255.1
4,78.9,2.1,1145115.0,118504000.0,9.0,258.67
5,80.1,2.375,1161671.0,118647000.0,8.9,262.74
6,80.3,2.425,1170021.0,118728000.0,8.3,271.33
7,79.6,2.25,1195084.0,118810000.0,8.0,265.02
8,79.5,2.225,1221066.0,118877000.0,7.9,242.49
9,79.6,2.775,1204671.0,118885000.0,7.7,232.9
10,79.3,2.85,1204822.0,119004000.0,7.4,236.27
11,79.7,2.725,1234846.0,119011000.0,7.6,237.92
12,80.1,2.7,1277629.0,119078000.0,7.6,237.7
13,80.9,2.55,1279354.0,119131000.0,7.5,234.78
14,80.4,2.45,1309360.0,119240000.0,7.7,240.06
15,80.1,2.45,1312847.0,119307000.0,7.1,240.49
16,79.9,2.7,1313362.0,119325000.0,6.9,244.36
17,80.8,2.625,1335493.0,119456000.0,7.2,242.71
18,81.5,2.475,1352143.0,119536000.0,7.2,233.0
19,81.1,2.25,1379542.0,119608000.0,6.8,235.25
20,80.8,2.35,1401761.0,119669000.0,7.6,234.34
21,81.1,2.525,1383860.0,119672000.0,7.6,233.95
22,81.6,2.7,1385893.0,119797000.0,7.8,233.67
23,81.7,2.75,1395848.0,119803000.0,8.4,225.52
24,81.9,2.675,1458904.0,119869000.0,7.7,224.95
25,82.5,2.675,1449478.0,119916000.0,7.6,230.67
26,81.9,2.725,1453267.0,120021000.0,7.5,233.29
27,82.1,2.5,1453129.0,120083000.0,7.7,242.72
28,81.4,2.55,1465648.0,120104000.0,7.7,242.24
29,82.7,2.45,1479452.0,120220000.0,8.1,245.19
30,83.2,2.55,1499229.0,120305000.0,7.7,246.89
31,82.8,2.525,1517762.0,120371000.0,8.1,243.29
32,83.0,2.225,1532672.0,120441000.0,7.8,247.96
33,83.2,2.4,1514264.0,120429000.0,7.9,254.11
34,82.9,2.675,1512547.0,120557000.0,7.9,260.34
35,83.2,2.85,1548336.0,120566000.0,7.9,258.43
36,83.8,2.55,1585846.0,120628000.0,8.4,251.67
37,83.9,2.35,1595481.0,120678000.0,8.3,251.57
38,83.9,2.575,1591230.0,120781000.0,8.2,248.95
39,84.1,2.475,1595908.0,120837000.0,8.2,241.7
