,export,import,trading_deficit
0,3032135254,2910765044,-121370210
1,2750030458,2642918484,-107111974
2,2862327713,2453845870,-408481843
3,3060166486,2734093071,-326073415
4,2684480947,2689212129,4731182
5,3009790237,2597464133,-412326104
6,2974059071,2715398623,-258660448
7,2740979399,2857013201,116033802
8,3134777114,2748679988,-386097126
9,2134195274,2543989927,409794653
10,2616327639,2282630898,-333696741
11,3068920520,2586177655,-482742865
12,2912037421,2427965036,-484072385
13,2738407179,2315782170,-422625009
14,2935410242,2469544895,-465865347
15,3029505276,2345169751,-684335525
16,2823995709,2416612821,-407382888
17,3129731941,2544967322,-584764619
18,3032322397,2551913119,-480409278
19,2907639368,2627864029,-279775339
20,3580775633,2902166433,-678609200
21,2384138917,2580731324,196592407
22,3098050444,2588307479,-509742965
23,3556941250,2830472023,-726469227
24,3251541878,2552002164,-699539714
25,3256291685,2830817820,-425473865
26,3417768073,2488283864,-929484209
27,3535860561,2775653157,-760207404
28,3244304955,2974007963,-270296992
29,3559646133,2466773743,-1092872390
30,3679814216,2793024279,-886789937
31,3410119351,2655503704,-754615647
32,3930816238,2785549120,-1145267118
33,2794824956,2670558409,-124266547
34,3320609123,2716385467,-604223656
35,3782761250,2952695224,-830066026
36,3782513662,2955293888,-827219774
37,3628603287,2779373225,-849230062
38,3613987776,2358461000,-1255526776
39,3758852479,2632696947,-1126155532
40,3297916779,2467121341,-830795438
41,3534090591,2434282481,-1099808110
42,3560071330,2585856829,-974214501
43,3242038345,2240486096,-1001552249
44,3639389893,2291724300,-1347665593
45,2583556595,2203498166,-380058429
46,2913062394,2154567575,-758494819
47,3177078112,1976378417,-1200699695
48,3173289742,1948294612,-1224995130
49,2987945773,1734934010,-1253011763
50,2957283036,1715408102,-1241874934
51,3075530691,1744959513,-1330571178
52,2609168170,1450209369,-1158958801
53,2947637644,1562874173,-1384763471
54,2952599460,1754054801,-1198544659
55,2711950593,1524772776,-1187177817
56,3200611677,1780765556,-1419846121
57,2362312083,1685555813,-676756270
58,2634787086,1544317465,-1090469621
59,2963278213,1728582530,-1234695683
60,2863059167,1758296866,-1104762301
61,2605678477,1706526592,-899151885
62,2684611970,1742155936,-942456034
63,2942171833,1915145230,-1027026603
64,2655157654,1878906619,-776251035
65,2909789669,1849573301,-1060216368
66,2985539820,2004705252,-980834568
67,2618788807,1965227338,-653561469
68,3090016604,1957919731,-1132096873
69,2187613965,1796164853,-391449112
70,2602963105,1927670914,-675292191
71,2922510217,1963965033,-958545184
72,2825634638,1971996284,-853638354
73,2575860023,1928914302,-646945721
74,2761695856,2016621821,-745074035
75,3039379123,2097989785,-941389338
76,2775566970,2113415332,-662151638
77,3109455598,2068934053,-1040521545
78,3094537899,2088890851,-1005647048
79,2841871801,2020461335,-821410466
80,3202093963,2011295296,-1190798667
81,2436919848,2024444396,-412475452
82,2875723988,1946462225,-929261763
83,3392125121,2544696946,-847428175
84,3067505097,2104684284,-962820813
85,2907578772,2400801378,-506777394
86,3246795217,2491568117,-755227100
87,3319946103,2472457831,-847488272
88,3061339138,2589486276,-471852862
89,3529216651,2485380823,-1043835828
90,3286437743,2618926165,-667511578
91,3150898465,2646520820,-504377645
92,3548048483,2653143320,-894905163
93,2698920009,2648894855,-50025154
94,3189896457,2468818441,-721078016
95,3876411321,2823489159,-1052922162
96,3444506468,2887652595,-556853873
97,3380060080,2899544419,-480515661
98,3624006217,2604347613,-1019658604
99,3625666385,2822566286,-803100099
100,3339566914,2830271046,-509295868
101,3685930278,2711024287,-974905991
102,3572949481,3142903612,-430045869
103,3302264729,3015229249,-287035480
104,3716761335,3000466076,-716295259
105,2951341099,2827441144,-123899955
106,3270447564,2608426257,-662021307
107,3961490693,2821264514,-1140226179
108,3315886709,2449686339,-866200370
109,3370218632,2794954173,-575264459
110,3538799084,2529928197,-1008870887
111,3692837249,2778148908,-914688341
112,3397923866,2616963288,-780960578
113,3762273475,2450567764,-1311705711
114,3748619780,2799973754,-948646026
115,3533219736,2697824120,-835395616
116,3816835087,2524975064,-1291860023
117,3021436725,2546349846,-475086879
118,3529202937,2248489560,-1280713377
119,3969328400,2532558620,-1436769780
120,3627117687,2679644816,-947472871
121,3368799562,2347768380,-1021031182
122,3599633739,2456025147,-1143608592
123,3706451371,2548003326,-1158448045
124,3318396801,2429167268,-889229533
125,3929782656,2431192336,-1498590320
126,3760352345,2447708909,-1312643436
127,3351736387,2419442120,-932294267
128,3830042834,2441069032,-1388973802
129,3012474007,2357365563,-655108444
130,3461521719,2157311473,-1304210246
131,4086569506,2510348134,-1576221372
132,3528825964,2349806884,-1179019080
133,2986793554,2124148119,-862645435
134,3288531601,2224456750,-1064074851
135,3487536565,2207051486,-1280485079
136,2930742070,2147567439,-783174631
137,3481724569,2173181801,-1308542768
138,3319377470,2161844659,-1157532811
